filename;true_gender;true_emotion;true_age_group;pred_age;pred_gender;pred_emotion;pred_age_group;correct_gender;correct_emotion;correct_age_group;all_correct;inference_seconds;face_found
Image_01_Elder Male sad.jpg;Male;Sad;Elderly;28;Male;Sad;Adult;1;1;0;0;42.69451833899984;True
Image_02_Elder Male sad.png;Male;Sad;Elderly;34;Male;Sad;Adult;1;1;0;0;0.4108173960003114;True
Image_03_Elder Male happy.jpeg;Male;Happy;Elderly;55;Male;Happy;Elderly;1;1;1;1;2.4798093039999003;True
Image_04_Elder Male sad.jpg;Male;Sad;Elderly;34;Male;Happy;Adult;1;0;0;0;13.207381881999936;True
Image_05_Elder Male happy.jpg;Male;Happy;Elderly;50;Male;Happy;Elderly;1;1;1;1;0.957972587999393;True
Image_06 Elder Female happy.jpg;Female;Happy;Elderly;28;Female;Happy;Adult;1;1;0;0;0.21313611599998694;True
Image_07 Elder Female happy.jpg;Female;Happy;Elderly;30;Female;Happy;Adult;1;1;0;0;0.24490178700034448;True
Image_08 Elder Female happy.jpeg;Female;Happy;Elderly;41;Male;Happy;Adult;0;1;0;0;0.8729725399998642;True
Image_09 Elder Female sad.jpg;Female;Sad;Elderly;58;Male;Happy;Elderly;0;0;1;0;0.44856827600051474;True
Image_10 Elder Female sad.jpg;Female;Sad;Elderly;27;Male;Sad;Adult;0;1;0;0;1.15767790100017;True
Image_11 Adult Male happy.jpg;Male;Happy;Adult;23;Male;Happy;Adult;1;1;1;1;1.4320795499997985;True
Image_12 Adult Male happy.jpg;Male;Happy;Adult;20;Male;Happy;Adult;1;1;1;1;1.1811752169996907;True
Image_13 Adult Male happy.jpg;Male;Happy;Adult;29;Male;Happy;Adult;1;1;1;1;0.6015590330007399;True
Image_14 Adult Male sad.jpg;Male;Sad;Adult;23;Male;Sad;Adult;1;1;1;1;0.39344535899999755;True
Image_15 Adult Male sad.jpg;Male;Sad;Adult;23;Male;Sad;Adult;1;1;1;1;0.37745933100086404;True
Image_16 Adult Female happy.jpg;Female;Happy;Adult;38;Female;Sad;Adult;1;0;1;0;0.5297688470000139;True
Image_17 Adult Female happy.jpg;Female;Happy;Adult;33;Female;Happy;Adult;1;1;1;1;0.46195374999933847;True
Image_18 Adult Female sad.jpg;Female;Sad;Adult;24;Female;Sad;Adult;1;1;1;1;0.2839545259994338;True
Image_19 Adult Female sad.jpg;Female;Sad;Adult;22;Female;Sad;Adult;1;1;1;1;0.573611529000118;True
Image_20 Adult Female sad.jpg;Female;Sad;Adult;35;Female;Sad;Adult;1;1;1;1;0.41140677299972594;True
