filename;true_gender;true_emotion;true_age_group;pred_age;pred_gender;pred_emotion;pred_age_group;correct_gender;correct_emotion;correct_age_group;all_correct;inference_seconds;face_found
Image_01_Elder Male sad.jpg;Male;Sad;Elderly;28;Male;Sad;Adult;1;1;0;0;47.54236859999946;True
Image_02_Elder Male sad.png;Male;Sad;Elderly;34;Male;Sad;Adult;1;1;0;0;0.9538905999943381;True
Image_03_Elder Male happy.jpeg;Male;Happy;Elderly;55;Male;Happy;Elderly;1;1;1;1;1.687631600012537;True
Image_04_Elder Male sad.jpg;Male;Sad;Elderly;41;Male;Happy;Adult;1;0;0;0;7.918710600002669;True
Image_05_Elder Male happy.jpg;Male;Happy;Elderly;50;Male;Happy;Elderly;1;1;1;1;1.0470873000012944;True
Image_06 Elder Female happy.jpg;Female;Happy;Elderly;28;Female;Happy;Adult;1;1;0;0;0.7384728000033647;True
Image_07 Elder Female happy.jpg;Female;Happy;Elderly;30;Female;Happy;Adult;1;1;0;0;0.6875703999976395;True
Image_08 Elder Female happy.jpeg;Female;Happy;Elderly;41;Male;Happy;Adult;0;1;0;0;0.861755500009167;True
Image_09 Elder Female sad.jpg;Female;Sad;Elderly;58;Male;Happy;Elderly;0;0;1;0;0.7238612999935867;True
Image_10 Elder Female sad.jpg;Female;Sad;Elderly;27;Male;Sad;Adult;0;1;0;0;0.8309601999935694;True
Image_11 Adult Male happy.jpg;Male;Happy;Adult;23;Male;Happy;Adult;1;1;1;1;0.8478052999998908;True
Image_12 Adult Male happy.jpg;Male;Happy;Adult;20;Male;Happy;Adult;1;1;1;1;0.8194457999925362;True
Image_13 Adult Male happy.jpg;Male;Happy;Adult;29;Male;Happy;Adult;1;1;1;1;0.6465614000044297;True
Image_14 Adult Male sad.jpg;Male;Sad;Adult;23;Male;Sad;Adult;1;1;1;1;0.6071247000072617;True
Image_15 Adult Male sad.jpg;Male;Sad;Adult;23;Male;Sad;Adult;1;1;1;1;0.5837419999879785;True
Image_16 Adult Female happy.jpg;Female;Happy;Adult;38;Female;Sad;Adult;1;0;1;0;0.5999545999948168;True
Image_17 Adult Female happy.jpg;Female;Happy;Adult;33;Female;Happy;Adult;1;1;1;1;0.5995944000023883;True
Image_18 Adult Female sad.jpg;Female;Sad;Adult;24;Female;Sad;Adult;1;1;1;1;0.5734217999997782;True
Image_19 Adult Female sad.jpg;Female;Sad;Adult;22;Female;Sad;Adult;1;1;1;1;0.6285409999982221;True
Image_20 Adult Female sad.jpg;Female;Sad;Adult;35;Female;Sad;Adult;1;1;1;1;0.6497936999949161;True
